##用于轻量化提示，使用自定义按键上屏，键不得重码，需标明类型，用中文符号冒号分割，表情：😲	aa，将上屏 😲
一简：起	q
表情：😶	没有嘴
表情：😶	没有嘴巴
表情：😶	沉默
表情：🫥	隐形
表情：🫥	隐藏
表情：🫥	虚线脸
表情：🫥	虚线轮廓
表情：😶‍🌫️	云中
表情：😶‍🌫️	云中的脸
表情：😏	得意
表情：😏	得意地笑
表情：😒	郁闷
表情：😒	鄙视
表情：🙄	白眼
表情：🙄	白眼儿
表情：🙄	翻白眼
表情：🙄	翻白眼儿
表情：😬	咬牙切齿
表情：😬	龇牙咧嘴
表情：😬	龇牙
表情：😬	咬牙
表情：🫁	呼气
表情：😮‍💨	叹气
表情：😮‍💨	唉
表情：😮‍💨	无奈
表情：🤥	长鼻子
表情：🤥	长鼻
表情：🤥	匹诺曹
表情：🤥	说谎
表情：🤥	撒谎
表情：🤥	乱讲
表情：🤥	胡说
表情：🤥	骗子
表情：🤥	骗人
表情：🤥	骗人布
表情：🤥	乌索普
表情：🫨	晃脑
表情：🫨	摇头晃脑
表情：🫨	颤抖的脸
表情：🫨	猛摇头
表情：🫨	甩头
表情：😌	如释重负
表情：😌	松口气
表情：😌	松了口气
表情：😌	松了一口气
表情：😌	释然
表情：😔	低头忧伤
表情：😔	心事重重
表情：😔	忧虑
表情：😔	忧伤
表情：🥱	困
表情：😪	困困
表情：🥱	困了
表情：🥱	困倦
表情：😪	困乏
表情：😪	瞌睡
表情：😪	打瞌睡
表情：🤤	口水
表情：🤤	流口水
表情：🤤	垂涎三尺
表情：🛌	睡觉
表情：💤	睡着
表情：💤	睡着了
表情：💤	睡了
表情：💤	睡眠
表情：😷	口罩
表情：😷	戴口罩
表情：🤧	感冒
表情：😷	生病
表情：🤒	体温计
表情：🤒	量体温
表情：🤒	发烧
表情：❤️‍🩹	受伤
表情：🤕	负伤
表情：🤕	绷带
表情：🤕	缠绷带
表情：🤕	缠满绷带
表情：🤢	恶心
表情：🤢	想吐
表情：🤢	反胃
表情：🤮	吐
表情：🤮	吐了
表情：🤮	呕吐
表情：🤮	吐出来
表情：🤧	喷嚏
表情：🤧	打喷嚏
表情：🤧	鼻涕
表情：🤧	擤鼻涕
表情：🤧	擤鼻子
表情：🤧	鼻炎
表情：🥵	热
表情：🥵	很热
表情：🥵	好热
表情：🥵	发热
表情：🥵	脸发烧
表情：🥵	辣
表情：🥵	辣死
表情：🥵	辣死了
表情：🥵	超辣
表情：🥵	超级辣
表情：🥵	热死
表情：🥵	热死了
表情：🥵	爆辣
表情：🥶	冷
表情：🥶	很冷
表情：🥶	冰冷
表情：🥶	好冷
表情：🥶	冷冰冰
表情：🥶	冷脸
表情：🥶	冻僵
表情：🥶	冻僵了
表情：🥶	满面寒霜
表情：🥶	冷死
表情：🥶	冷死了
表情：🥶	冻死
表情：🥶	冻死了
表情：🥴	微醺
表情：🥴	醉了
表情：🥴	喝醉
表情：🥴	喝醉了
表情：🥴	喝多
表情：🥴	喝多了
表情：🥴	昏昏沉沉
表情：🥴	酒醉
表情：😵‍💫	晕
表情：😵‍💫	晕了
表情：😵‍💫	我晕
表情：😵‍💫	头晕
表情：😵‍💫	晕头
表情：💫	头晕目眩
表情：😵‍💫	晕头转向
表情：😵‍💫	头晕眼花
表情：🤯	爆炸头
表情：🤯	爆炸脑
表情：🤯	头爆炸
表情：🤯	脑子爆炸
表情：🤯	脑袋爆炸
表情：🤯	脑爆炸
表情：🤯	大脑爆炸
表情：🤯	爆头
表情：🤠	牛仔
表情：🤠	牛仔帽
表情：🤠	牛仔帽脸
表情：🎉	派对
表情：🥳	派对脸
表情：🎉	庆祝
表情：🥳	开趴
表情：🥳	开淫趴
表情：🥳	开银趴
表情：🥳	party
表情：🥳	开party
表情：🥸	伪装
表情：🥸	伪装的脸
表情：🥸	隐瞒身份
表情：🕶	太阳镜
表情：🕶	墨镜
表情：😎	墨镜笑脸
表情：😎	自信
表情：🤓	书呆子
表情：🤓	书呆子脸
表情：🧐	单片眼镜
表情：🧐	带单片眼镜的脸
表情：🧐	探究
表情：🧐	研究
表情：😕	困扰
表情：😕	不屑
表情：🫤	撇嘴
表情：🫤	不确定
表情：😟	担心
表情：😟	担忧
表情：🙁	不开心
表情：🙁	不高兴
表情：🙁	不满
表情：🙁	微微不满
表情：🙁	心情不好
表情：🙁	不悦
表情：🙁	一脸不悦
表情：😧	吃惊
表情：😧	惊讶
表情：😮	哦
表情：😯	好奇
表情：😧	震惊
表情：😧	啊
表情：😳	害羞
表情：😳	羞涩
表情：😳	愣住
表情：🥺	可怜
表情：🥺	可怜兮兮
表情：🥺	好嘛
表情：🙏	求你了
表情：🙏	求求你
表情：🙏	求求你了
表情：🥹	忍住泪水
表情：🥹	强忍泪水
表情：🥹	要哭了
表情：🥹	含泪
表情：🥹	委屈
表情：😦	目瞪口呆
表情：😱	怕
表情：😱	可怕
表情：😱	害怕
表情：😱	恐惧
表情：😩	焦虑
表情：😰	冒汗焦虑
表情：😰	紧张
表情：😥	失望但如释重负
表情：😥	难过但释然
表情：😭	哭
表情：😭	哭了
表情：😭	哭泣
表情：😭	流泪
表情：😭	流眼泪
表情：😭	大哭
表情：😭	放声大哭
表情：😭	痛哭
表情：😱	吓死
表情：😱	吓死了
表情：😱	吓人
表情：😱	尖叫
表情：😱	恐怖
表情：😱	恐惧尖叫
表情：😱	惊声尖叫
表情：😖	焦头烂额
表情：😖	纠结
表情：😣	忍耐
表情：😞	失望
表情：😞	难过
表情：😓	倒霉
表情：😩	疲倦
表情：😩	疲劳
表情：😩	疲惫
表情：😩	焦躁
表情：😫	抓狂
表情：🥱	呵欠
表情：🥱	哈欠
表情：🥱	打哈欠
表情：🥱	打呵欠
表情：😤	傲慢
表情：😤	趾高气昂
表情：😤	鼻子冒气
表情：😤	哼
表情：😤	哼哼
表情：💢	怒
表情：💢	愤怒
表情：💢	生气
表情：😠	气人
表情：💢	angry
表情：😡	发火
表情：😡	发飙
表情：😡	怒火中烧
表情：😡	烦死
表情：😡	烦死人
表情：😡	烦死了
表情：😡	烦死啦
表情：😠	微怒
表情：🤬	骂人
表情：🤬	咒骂
表情：🤬	脏话
表情：🤬	说脏话
表情：🤬	你妈死了
表情：🤬	NMSL
表情：🤬	肏你妈
表情：🤬	操你妈
表情：🤬	傻逼
表情：🤬	出口成脏
表情：👿	恶魔
表情：👿	魔鬼
表情：😈	微笑恶魔
表情：😈	恶魔微笑
表情：😈	微笑的恶魔
表情：👿	生气恶魔
表情：👿	恶魔生气
表情：👿	生气的恶魔
表情：☠️	头骨
表情：☠️	骷髅
表情：☠️	骷髅头
表情：☠️	死亡
表情：💩	屎
表情：💩	拉屎
表情：💩	大便
表情：💩	拉大便
表情：💩	便便
表情：💩	拉便便
表情：💩	粑粑
表情：💩	拉粑粑
表情：🤡	小丑
表情：🤡	小丑脸
表情：👹	怪物
表情：👺	妖怪
表情：👻	鬼
表情：👻	鬼魂
表情：👻	幽灵
表情：👽	外星人
表情：👾	怪兽
表情：👾	异形怪兽
表情：👾	外星怪物
表情：🤖	机器人
表情：😺	开心猫
表情：😺	开心的猫
表情：😺	开心猫脸
表情：😸	微笑猫
表情：😸	微笑的猫
表情：😸	微笑猫脸
表情：😹	笑中带泪
表情：😹	喜极而泣
表情：😹	笑出眼泪的猫
表情：😻	花痴猫
表情：😻	花痴的猫
表情：😻	花痴猫脸
表情：😼	得意猫
表情：😼	得意的猫
表情：😼	得意猫脸
表情：😽	亲亲猫
表情：😽	亲亲的猫
表情：😽	亲亲猫脸
表情：🙀	恐惧猫
表情：🙀	恐惧的猫
表情：🙀	恐惧猫脸
表情：🙀	害怕猫
表情：🙀	害怕的猫
表情：🙀	害怕猫脸
表情：😿	哭泣猫
表情：😿	哭泣的猫
表情：😿	哭泣猫脸
表情：😾	生气猫
表情：😾	生气的猫
表情：😾	生气猫脸
表情：😾	噘嘴猫
表情：😾	噘嘴的猫
表情：😾	噘嘴猫脸
表情：🙈	非礼勿视
表情：🙈	不看
表情：🙈	蒙眼
表情：🙈	蒙眼睛
表情：🙈	蒙住眼睛
表情：🙈	我不看
表情：🙉	非礼勿听
表情：🙉	不听
表情：🙉	堵耳
表情：🙉	堵耳朵
表情：🙉	堵上耳朵
表情：🙉	堵住耳朵
表情：🙉	堵着耳朵
表情：🙉	捂耳
表情：🙉	捂耳朵
表情：🙉	捂上耳朵
表情：🙉	捂住耳朵
表情：🙉	捂着耳朵
表情：🙉	我不听
表情：🙊	非礼勿言
表情：💌	情书
表情：💘	一箭穿心
表情：💘	丘比特
表情：💘	心中箭了
表情：💝	爱的礼物
表情：💝	系有缎带的心
表情：💝	饰以丝带的心
表情：💝	送你一颗心
表情：💖	闪亮的心
表情：♥️	爱心
表情：💗	膨胀的心
表情：💗	膨胀的爱心
表情：💗	搏动的心
表情：💓	心动
表情：💓	心跳
表情：👩‍❤️‍👨	爱情
表情：♥️	love
表情：💞	旋转的心
表情：💞	舞动的心
表情：💞	心连心
表情：💕	两颗心
表情：🩷	粉色的心
表情：♥️	心形
表情：💟	心形装饰
表情：❣️	心叹号
表情：💔	伤心
表情：💔	心碎
表情：💔	失恋
表情：❤️‍🔥	火上之心
表情：❤️‍🔥	心火
表情：❤️‍🔥	燃烧的心
表情：❤️‍🔥	心在燃烧
表情：❤️‍🔥	心在着火
表情：❤️‍🔥	爱火
表情：❤️‍🩹	修复受伤的心灵
表情：❤️‍🩹	治愈的心
表情：❤️‍🩹	受伤的心
表情：❤️‍🩹	受伤的心灵
表情：❤️‍🩹	心伤
表情：🩷	粉心
表情：🩷	粉色心
表情：🩷	粉红心
表情：🧡	橙心
表情：🧡	橙色心
表情：🧡	橙色的心
表情：🧡	橘心
表情：🧡	橘色心
表情：🧡	橘色的心
表情：💛	黄心
表情：💛	黄色心
表情：💛	黄色的心
表情：💚	绿心
表情：💚	绿色心
表情：💚	绿色的心
表情：🩵	蓝心
表情：🩵	蓝色心
表情：🩵	蓝色的心
表情：🩵	淡蓝心
表情：🩵	淡蓝色心
表情：🩵	淡蓝色的心
表情：💜	紫心
表情：💜	紫色心
表情：💜	紫色的心
表情：🤎	棕心
表情：🤎	棕色心
表情：🤎	棕色的心
表情：🖤	黑心
表情：🖤	黑色心
表情：🖤	黑色的心
表情：🩶	灰心
表情：🩶	灰色心
表情：🩶	灰色的心
表情：🤍	白心
表情：🤍	白色心
表情：🤍	白色的心
表情：💋	亲
表情：💋	吻
表情：💋	亲吻
表情：💋	亲嘴
表情：👄	唇
表情：💋	唇印
表情：👄	红唇
表情：💋	吻痕
表情：💋	kiss
表情：💋	么么
表情：💋	么么哒
表情：💯	一百
表情：💯	一百分
表情：💯	满分
表情：💢	火大
表情：💢	青筋
表情：💢	生气符号
表情：💥	爆炸
表情：💧	水珠
表情：💧	水滴
表情：💨	阵风
表情：🕳	坑
表情：🕳	洞
表情：🕳	下水道
表情：🗯	对话气泡
表情：💭	对话框
表情：👁️‍🗨️	证人
表情：👁️‍🗨️	我是证人
表情：🗨	朝左的对话气泡
表情：🗯	愤怒对话气泡
表情：🗯	愤怒对话框
表情：💭	思考气泡
表情：💭	内心活动气泡
表情：💤	睡眠符号
表情：💤	ZZZ
表情：👋	挥手
表情：👋	摆手
表情：👋	你好
表情：👋	再见
表情：👋	拜拜
表情：🤚	手背
表情：🖐	手指张开
表情：🖐	手指张开的手
表情：✋	举起的手
表情：✋	手掌
表情：✋	击掌
表情：✋	手
表情：🖖	瓦肯举手礼
表情：🖖	瓦肯
表情：🖖	斯波克
表情：🖖	星际迷航
表情：🫸	右手
表情：🫱	向右的手
表情：🫱	向右伸的手
表情：🫱	朝右
表情：🫷	左手
表情：🫲	向左的手
表情：🫲	向左伸的手
表情：🫲	朝左
表情：🫳	手掌朝下
表情：🫳	掌心朝下
表情：🫳	朝下
表情：🫳	放手
表情：🫴	手掌朝上
表情：🫴	掌心朝上
表情：🫴	朝上
表情：🫴	伸手
表情：🫴	抬起
表情：🫷	左推
表情：🫷	向左推
表情：🫸	推手
表情：🫷	向左推手
表情：🫷	向左推的手
表情：🫸	右推
表情：🫸	向右推
表情：🫸	向右推手
表情：🫸	向右推的手
表情：🆗	OK
表情：🙆‍♀️	好
表情：🙆‍♀️	好的
表情：👌	好哒
表情：👌	没问题
表情：🤌	手指捏和
表情：🤌	捏合
表情：🤌	兰花指
表情：🤌	捏手指
表情：🤌	手指
表情：🕐	一点
表情：🤏	一点儿
表情：🤏	一点点
表情：🤏	少量
表情：🤏	少许
表情：✌️	和平手势
表情：✌️	耶
表情：✌️	哦耶
表情：✌️	成功
表情：✌️	胜利
表情：✌️	赢了
表情：✌️	剪刀手
表情：✌️	赢啦
表情：✌️	赢咯
表情：✌️	两个
表情：✌️	第二
表情：🤞	手指交叉
表情：🤞	交叉的手指
表情：🫰	食指和拇指交叉的手
表情：🫰	响指
表情：🫰	打响指
表情：🫶	比心
表情：🫶	比心手势
表情：🤟	爱你手势
表情：🤟	爱你的手势
表情：🤟	爱你
表情：🤟	我爱你
表情：🤘	摇滚
表情：🤘	摇滚手势
表情：🤘	金属礼
表情：🤙	打电话
表情：🤙	回电话
表情：🤙	打给我
表情：🤙	给我打电话
表情：🤙	打电话给我
表情：🤙	六六六
表情：👈	反手食指向左指
表情：👈	向左指
表情：👈	向左
表情：👈	往左
表情：👈	往左指
表情：👈	左面
表情：👈	左边
表情：👉	反手食指向右指
表情：👉	向右指
表情：👉	向右
表情：👉	往右
表情：👉	往右指
表情：👉	右面
表情：👉	右边
表情：👆	反手食指向上指
表情：👆	向上指
表情：👆	向上
表情：👆	往上
表情：👆	往上指
表情：👆	上面
表情：👆	上边
表情：👇	反手食指向下指
表情：👇	向下指
表情：👇	向下
表情：👇	往下
表情：👇	往下指
表情：👇	下面
表情：👇	下边
表情：🖕	中指
表情：🖕	竖中指
表情：🖕	比中指
表情：🖕	举中指
表情：☝️	食指
表情：☝️	一个
表情：☝️	第一
表情：🫵	食指指向观察者
表情：🫵	指向观察者的食指
表情：🫵	你自己
表情：🫵	就是你
表情：🫵	指着
表情：🫵	指着你
表情：🫵	指你
表情：🫵	指我
表情：🫵	指人
表情：👎	拇指
表情：👎	大拇指
表情：👍	大拇指向上
表情：👎	拇指向上
表情：👍	大拇指朝上
表情：👍	拇指朝上
表情：👍	强
表情：👍	好强
表情：👍	棒
表情：👍	棒啊
表情：👍	真棒
表情：👍	好棒
表情：👍	很棒
表情：👍	特棒
表情：👍	非常棒
表情：👍	棒棒
表情：👍	棒棒的
表情：👍	棒棒哒
表情：👍	太棒
表情：👍	太棒了
表情：👍	太棒啦
表情：👍	干得好
表情：👍	很好
表情：👍	不错
表情：👍	表扬
表情：👍	牛逼
表情：👍	厉害
表情：👍	赞
表情：👍	点赞
表情：👍	绝了
表情：👎	大拇指向下
表情：👎	大拇指朝下
表情：👎	拇指朝下
表情：👎	不好
表情：👎	不强
表情：👎	不棒
表情：👎	太差
表情：👎	太差了
表情：👎	太差啦
表情：👎	差劲
表情：✊	举起拳头
表情：✊	举起的拳头
表情：✊	握拳
表情：👊	握紧的拳头
表情：👊	拳头
表情：👊	出拳
表情：👊	打击
表情：👊	重拳出击
表情：👊	打你
表情：👊	揍你
表情：👊	干你
表情：🤛	左向拳
表情：🤛	朝左的拳头
表情：🤛	右钩拳
表情：🤛	右拳
表情：🤜	右向拳
表情：🤜	朝右的拳头
表情：🤜	左钩拳
表情：🤜	左拳
表情：👏	鼓掌
表情：👏	拍手
表情：👏	拍掌
表情：👏	啪啪啪
表情：🙌	扬手欢呼
表情：🙌	举双手
表情：🫶	做成心形的双手
表情：👐	双手张开
表情：👐	张开双手
表情：🤲	双手手掌向上
表情：🤲	掌心向上托起
表情：🤲	双手
表情：🤲	捧着
表情：🤝	握手
表情：🤝	合作
表情：🤝	合作愉快
表情：🤝	搞定
表情：🙏	双手合十
表情：🙏	合十
表情：🙏	合掌
表情：🙏	拜托
表情：🙏	祈求
表情：🙏	祈祷
表情：🙏	感谢
表情：🙏	谢谢
表情：🙏	超度
表情：🙏	阿弥陀佛
表情：✍️	写字
表情：✍️	手写
表情：💅	指甲油
表情：💅	涂指甲油
表情：💅	美甲
表情：💅	做指甲
表情：💅	做美甲
表情：🤳	自拍
表情：💪	二头肌
表情：💪	肱二头肌
表情：💪	肱二头
表情：💪	强壮
表情：💪	肌肉
表情：💪	秀肌肉
表情：💪	健身
表情：⛽	加油
表情：💪	奋斗
表情：💪	努力
表情：🦿	义肢
表情：🦿	义体
表情：🦿	赛博朋克
表情：🦾	机械手臂
表情：🦾	机械臂
表情：🦿	机械腿
表情：🦵	腿
表情：🦵	腿儿
表情：🦵	大腿
表情：🦵	练腿
表情：🦶	脚
表情：🦶	足
表情：🦶	踢
表情：🦶	踩
表情：🦶	脚丫
表情：🦶	脚丫子
表情：👂	听
表情：👂	耳
表情：👂	耳朵
表情：🦻	助听器
表情：🦻	听力障碍
表情：🦻	戴助听器的耳朵
表情：👃	嗅
表情：👃	闻
表情：👃	鼻
表情：👃	鼻子
表情：👃	呼吸
表情：🧠	大脑
表情：🧠	头脑
表情：🧠	脑花
表情：🧠	脑子
表情：🧠	脑
表情：🫀	心脏
表情：🫀	心脏器官
表情：🫁	肺
表情：🫁	吸气
表情：🫁	呼吸作用
表情：🦷	牙
表情：🦷	牙齿
表情：🦷	牙牙
表情：🦴	骨头
表情：🦴	骨骼
表情：👁	眼
表情：👁	眼睛
表情：👀	注视
表情：👀	观察
表情：👀	看
表情：👀	看看
表情：👁	单眼
表情：👁	一只眼
表情：👁	一只眼睛
表情：👁	瞳孔
表情：👅	舌
表情：👅	舌头
表情：👄	口
表情：👄	嘴
表情：👄	嘴唇
表情：👄	嘴巴
表情：🫦	咬嘴唇
表情：🫦	咬住嘴唇
表情：🫦	调情
表情：🫦	情调
表情：🫦	诱惑
表情：🚼	婴儿
表情：🚼	宝宝
表情：👶	小宝贝
表情：👶	小宝贝儿
表情：🚼	baby
表情：👶	乖宝
表情：👶	乖宝宝
表情：🧒	儿童
表情：🧒	小孩
表情：🧒	小孩儿
表情：🧒	孩子
表情：🧒	小孩子
表情：🧒	小朋友
表情：🧒	小盆友
表情：👦	男孩
表情：👦	小男孩
表情：👦	儿子
表情：👧	女孩
表情：👧	小女孩
表情：👧	女儿
表情：👱‍♂️	金发
表情：👱‍♂️	金色头发
表情：👱‍♀️	金发女
表情：👱‍♀️	金发女子
表情：👱‍♀️	金发女人
表情：👨	男人
表情：👨	成年男人
表情：👨	成年男性
表情：👨	爸爸
表情：👨	父亲
表情：👨	老爹
表情：🧔	有胡须的人
表情：🧔	有胡子的人
表情：🧔	络腮胡
表情：🧔	胡子
表情：🧔	胡须
表情：🧔	大叔
表情：🧔‍♀️	长胡子的女人
表情：🧔‍♀️	胡子女
表情：🦰	红发
表情：🦰	红色头发
表情：👨‍🦱	红发男
表情：👨‍🦱	红发男子
表情：👨‍🦱	红发男人
表情：🦱	卷发
表情：🦳	白发
表情：👩‍🦳	白色头发
表情：👨‍🦳	白发男
表情：👨‍🦳	白发男子
表情：👨‍🦳	白发男人
表情：🦲	光头
表情：👨‍🦲	光头男
表情：👨‍🦲	光头男子
表情：👨‍🦲	光头男人
表情：🦲	秃顶
表情：🦲	秃头
表情：🦲	头秃
表情：🦲	脱发
表情：👨‍🦲	和尚
表情：👩	女人
表情：👩	成年女人
表情：👩	成年女性
表情：👩	妈妈
表情：👩	母亲
表情：👩	老妈
表情：🦰	红头发
表情：👩‍🦰	红发女
表情：👩‍🦰	红发女子
表情：👩‍🦰	红发女人
表情：👩‍🦱	卷发女
表情：👩‍🦱	卷发女子
表情：👩‍🦱	卷发女人
表情：👩‍🦳	白发女
表情：👩‍🦳	白发女子
表情：👩‍🦳	白发女人
表情：👩‍🦲	光头女
表情：👩‍🦲	光头女子
表情：👩‍🦲	光头女人
表情：👩‍🦲	尼姑
表情：👱‍♂️	金发男
表情：👱‍♂️	金发男子
表情：👱‍♂️	金发男人
表情：👵	老人
表情：👴	老头
表情：👴	老头儿
表情：👴	老爷爷
表情：👴	爷爷
表情：👴	姥爷
表情：👴	外公
表情：👴	祖父
表情：👵	老太太
表情：👵	老奶奶
表情：👵	奶奶
表情：👵	姥姥
表情：👵	外婆
表情：👵	祖母
表情：🙍‍♀️	皱着眉头
表情：🙍‍♀️	皱着眉头的人
表情：🙎‍♀️	噘嘴的人
表情：🙅‍♀️	禁止手势
表情：🙅‍♀️	不
表情：🙅‍♀️	不行
表情：🙅‍♀️	反对
表情：🙅‍♀️	拒绝
表情：🙅‍♀️	不同意
表情：🙅‍♀️	不可以
表情：🙅‍♀️	打咩
表情：🙆‍♀️	同意
表情：🉑	可以
表情：💁‍♀️	服务员
表情：💁‍♀️	服务生
表情：💁‍♂️	男服务员
表情：💁‍♂️	男服务生
表情：💁‍♀️	女服务员
表情：💁‍♀️	女服务生
表情：🙋‍♀️	举手
表情：🙋‍♀️	我知道
表情：🙋‍♀️	这个我知道
表情：🧏‍♀️	失聪者
表情：🧏‍♀️	失聪
表情：🧏‍♀️	耳聋
表情：🧏‍♀️	聋子
表情：🙇‍♀️	不好意思
表情：🙇‍♀️	对不起
表情：🙇‍♀️	道歉
表情：🙇‍♀️	鞠躬
表情：🙇‍♀️	跪求
表情：🤦‍♀️	捂脸
表情：🤦‍♀️	手掌捂脸
表情：🤦‍♀️	扶额
表情：🤦‍♀️	服了
表情：🤦‍♀️	我服了
表情：🤦‍♀️	服了你了
表情：🤦‍♀️	我服了你
表情：🤦‍♀️	我服了你了
表情：🤷‍♀️	耸肩
表情：🤷‍♀️	不关心
表情：🤷‍♀️	不知道
表情：🤷‍♀️	谁知道
表情：🤷‍♀️	谁知道呢
表情：🤷‍♀️	与我无关
表情：👩‍⚕️	医护人员
表情：👩‍⚕️	医生
表情：👨‍⚕️	男医护人员
表情：👨‍⚕️	男医生
表情：👩‍⚕️	大夫
表情：👨‍⚕️	男大夫
表情：👩‍⚕️	女医护人员
表情：👩‍⚕️	女医生
表情：👩‍⚕️	女大夫
表情：👩‍🎓	学生
表情：👩‍🎓	大学生
表情：👨‍🎓	男学生
表情：👩‍🎓	毕业
表情：👩‍🎓	本科生
表情：👩‍🎓	女学生
表情：👩‍🏫	老师
表情：👩‍🏫	教师
表情：👨‍🏫	男老师
表情：👨‍🏫	男教师
表情：👩‍🏫	女老师
表情：👩‍🏫	女教师
表情：👩‍⚖️	法官
表情：👨‍⚖️	男法官
表情：👩‍⚖️	女法官
表情：👩‍🌾	农民
表情：👨‍🌾	农夫
表情：👩‍🌾	农妇
表情：👩‍🍳	做饭
表情：👩‍🍳	厨师
表情：👩‍🍳	大厨
表情：👨‍🍳	男厨师
表情：👩‍🍳	下厨
表情：👩‍🍳	女厨师
表情：👩‍🔧	技工
表情：👩‍🔧	水管工
表情：👩‍🔧	电工
表情：👩‍🔧	修理工
表情：👨‍🔧	男技工
